# Source: Arcturus5404/miniature-paints (MIT, 2022 Rick Fleuren)
# https://github.com/Arcturus5404/miniature-paints
# Normalized via scripts/build_paint_db.py.
# Hex values are community-derived from vendor swatches; spot-check
# before trusting individual rows. Edit this file directly to correct.
# category=solid is the only category included in the optimizer.
name,brand,line,sku,hex,category,notes
Bright Red,army_painter,army_painter_speedpaint,null,#E15A3D,contrast,
Broadsword Silver,army_painter,army_painter_speedpaint,null,#595854,contrast,
Brownish Decay,army_painter,army_painter_speedpaint,null,#7B6C33,contrast,
Burnished Red,army_painter,army_painter_speedpaint,null,#633B33,contrast,
Burnt Moss,army_painter,army_painter_speedpaint,null,#4D5A50,contrast,
Camo Cloak,army_painter,army_painter_speedpaint,null,#5A713B,contrast,
Caribbean Ocean,army_painter,army_painter_speedpaint,null,#09A6B5,contrast,
Carmine Dragon,army_painter,army_painter_speedpaint,null,#DC3058,contrast,
Charming Chartreuse,army_painter,army_painter_speedpaint,null,#C9CF47,contrast,
Cloudburst Blue,army_painter,army_painter_speedpaint,null,#3C4258,contrast,
Crusader Skin,army_painter,army_painter_speedpaint,null,#EB9A5B,contrast,
Dark Wood,army_painter,army_painter_speedpaint,null,#482D1A,contrast,
Desolate Brown,army_painter,army_painter_speedpaint,null,#7A703B,contrast,
Dusk Red,army_painter,army_painter_speedpaint,null,#603E3D,contrast,
Enchanted Steel,army_painter,army_painter_speedpaint,null,#4F595B,contrast,
Familiar Pink,army_painter,army_painter_speedpaint,null,#D62F7F,contrast,
Fire Drake,army_painter,army_painter_speedpaint,null,#D2916B,contrast,
Fire Giant Orange,army_painter,army_painter_speedpaint,null,#BE3F20,contrast,
Forest Sprite,army_painter,army_painter_speedpaint,null,#6FA045,contrast,
Ghillie Dew,army_painter,army_painter_speedpaint,null,#90AC23,contrast,
Ghoul Green,army_painter,army_painter_speedpaint,null,#44A963,contrast,
Glittering Loot,army_painter,army_painter_speedpaint,null,#836608,contrast,
Goddess Glow,army_painter,army_painter_speedpaint,null,#9A5751,contrast,
Golden Armour,army_painter,army_painter_speedpaint,null,#714808,contrast,
Gravelord Grey,army_painter,army_painter_speedpaint,null,#44474C,contrast,
Grim Black,army_painter,army_painter_speedpaint,null,#161511,contrast,
Gunner Camo,army_painter,army_painter_speedpaint,null,#325141,contrast,
Hardened Leather,army_painter,army_painter_speedpaint,null,#8C501E,contrast,
Highlord Blue,army_painter,army_painter_speedpaint,null,#1B5682,contrast,
Hive Dweller Purple,army_painter,army_painter_speedpaint,null,#57366B,contrast,
Hoard Bronze,army_painter,army_painter_speedpaint,null,#867240,contrast,
Holy White,army_painter,army_painter_speedpaint,null,#FFFFFF,contrast,
Hoplite Gold,army_painter,army_painter_speedpaint,null,#907317,contrast,
Howling Sand,army_painter,army_painter_speedpaint,null,#CECFB0,contrast,
Lizardfolk Cyan,army_painter,army_painter_speedpaint,null,#39989C,contrast,
Maggot Skin,army_painter,army_painter_speedpaint,null,#CBC861,contrast,
Magic Blue,army_painter,army_painter_speedpaint,null,#116DAC,contrast,
Maize Yellow,army_painter,army_painter_speedpaint,null,#F6D31F,contrast,
Malignant Green,army_painter,army_painter_speedpaint,null,#BECB3D,contrast,
Malignent Green,army_painter,army_painter_speedpaint,null,#B2B886,contrast,
Moody Mauve,army_painter,army_painter_speedpaint,null,#A14F7D,contrast,
Moonlake Coral,army_painter,army_painter_speedpaint,null,#A5396D,contrast,
Mummified Grime,army_painter,army_painter_speedpaint,null,#666748,contrast,
Murder Scene,army_painter,army_painter_speedpaint,null,#6E2A39,contrast,
Noble Skin,army_painter,army_painter_speedpaint,null,#4F493D,contrast,
Nuclear Sunrise,army_painter,army_painter_speedpaint,null,#E56F25,exclude,
Occultist Cloak,army_painter,army_painter_speedpaint,null,#30323E,contrast,
Ochre Clay,army_painter,army_painter_speedpaint,null,#B8A936,contrast,
Pallid Bone,army_painter,army_painter_speedpaint,null,#E1CC95,contrast,
Pastel Indigo,army_painter,army_painter_speedpaint,null,#9FBCDA,contrast,
Pastel Lavender,army_painter,army_painter_speedpaint,null,#D5BFD4,contrast,
Pastel Salmon,army_painter,army_painter_speedpaint,null,#F3C498,contrast,
Pastel Seafoam,army_painter,army_painter_speedpaint,null,#B8D7C8,contrast,
Pastel Yellow,army_painter,army_painter_speedpaint,null,#F6E178,contrast,
Peachy Flesh,army_painter,army_painter_speedpaint,null,#EDA668,contrast,
Periwinkle Purple,army_painter,army_painter_speedpaint,null,#585396,contrast,
Plasmatic Bolt,army_painter,army_painter_speedpaint,null,#00816C,contrast,
Polished Silver,army_painter,army_painter_speedpaint,null,#888782,contrast,
Poppy Red,army_painter,army_painter_speedpaint,null,#C8453B,contrast,
Princess Pink,army_painter,army_painter_speedpaint,null,#E29FB0,contrast,
Purple Alchemy,army_painter,army_painter_speedpaint,null,#AE3F6A,contrast,
Purple Swarm,army_painter,army_painter_speedpaint,null,#653483,contrast,
Raging Sea,army_painter,army_painter_speedpaint,null,#1B95A4,contrast,
Rigor Mortis,army_painter,army_painter_speedpaint,null,#ADAD6F,contrast,
Royal Robes,army_painter,army_painter_speedpaint,null,#5363A1,contrast,
Ruddy Fur,army_painter,army_painter_speedpaint,null,#9D4925,contrast,
Runic Grey,army_painter,army_painter_speedpaint,null,#557989,contrast,
Sand Golem,army_painter,army_painter_speedpaint,null,#CB9413,contrast,
Satchel Brown,army_painter,army_painter_speedpaint,null,#583D32,contrast,
Shamrock Green,army_painter,army_painter_speedpaint,null,#60AB2C,contrast,
Slaughter Red,army_painter,army_painter_speedpaint,null,#7B191B,contrast,
Speedpaint Medium,army_painter,army_painter_speedpaint,null,#EFEFEF,exclude,
Talos Bronze,army_painter,army_painter_speedpaint,null,#6B3B27,contrast,
Thunderbird Blue,army_painter,army_painter_speedpaint,null,#66B797,contrast,
Tidal Wave,army_painter,army_painter_speedpaint,null,#1278B6,contrast,
Tyrian Navy,army_painter,army_painter_speedpaint,null,#2A414F,contrast,
Warrior Skin,army_painter,army_painter_speedpaint,null,#A37051,contrast,
Zealot Yellow,army_painter,army_painter_speedpaint,null,#F4D008,contrast,
Flesh Wash,army_painter,army_painter_tone,WP1143,#4A1B0E,wash,
Military Shader,army_painter,army_painter_tone,WP1471,#4C631C,wash,
Red Tone,army_painter,army_painter_tone,WP1138,#502114,wash,
Abomination Gore,army_painter,army_painter_warpaints,WP1401,#A32F26,solid,
Arid Earth,army_painter,army_painter_warpaints,WP1402,#FDEDC7,solid,
Babe Blonde,army_painter,army_painter_warpaints,WP1403,#FBDC04,solid,
Banshee Brown,army_painter,army_painter_warpaints,WP1404,#BFA59B,solid,
Basilisk Brown,army_painter,army_painter_warpaints,WP1405,#CF8100,solid,
Castle Grey,army_painter,army_painter_warpaints,WP1407,#8D887F,solid,
Centaur Skin,army_painter,army_painter_warpaints,WP1408,#E3B1A5,solid,
Chaotic Red,army_painter,army_painter_warpaints,WP1142,#6F1D06,solid,
Combat Fatigues,army_painter,army_painter_warpaints,WP1409,#868E59,solid,
Commando Green,army_painter,army_painter_warpaints,WP1410,#847F37,solid,
Corpse Pale,army_painter,army_painter_warpaints,WP1411,#EFD0AF,solid,
Crusted Sore,army_painter,army_painter_warpaints,WP1412,#843046,solid,
Crypt Wraith,army_painter,army_painter_warpaints,WP1413,#5D5F4D,solid,
Cultist Robe,army_painter,army_painter_warpaints,WP1414,#787164,solid,
Dark Sky,army_painter,army_painter_warpaints,WP1415,#314F5E,solid,
Dark Stone,army_painter,army_painter_warpaints,WP1425,#49383C,solid,
Deep Blue,army_painter,army_painter_warpaints,WP1116,#0E4E76,solid,
Dirt Spatter,army_painter,army_painter_warpaints,WP1416,#603920,solid,
Disgusting Slime,army_painter,army_painter_warpaints,WP1477,#CBB503,solid,
Drake Tooth,army_painter,army_painter_warpaints,WP1417,#D5D2BD,solid,
Dry Rust,army_painter,army_painter_warpaints,WP1479,#E74F35,solid,
Dungeon Grey,army_painter,army_painter_warpaints,WP1418,#676B70,solid,
Electric Blue,army_painter,army_painter_warpaints,WP1113,#5288B8,solid,
Elemental Bolt,army_painter,army_painter_warpaints,WP1419,#158E76,solid,
Elf Green,army_painter,army_painter_warpaints,WP1420,#4B5212,solid,
Elven Flesh,army_painter,army_painter_warpaints,WP1421,#F9BE94,solid,
Field Grey,army_painter,army_painter_warpaints,WP1481,#7D807B,solid,
Filthy Cape,army_painter,army_painter_warpaints,WP1424,#7D785A,solid,
Fire Lizard,army_painter,army_painter_warpaints,WP1426,#F07000,solid,
Fog Grey,army_painter,army_painter_warpaints,WP1427,#7A97B1,solid,
Glistening Blood,army_painter,army_painter_warpaints,WP1476,#B3082D,solid,
Gloss Varnish,army_painter,army_painter_warpaints,WP1473,#F7F7F7,exclude,
Goblin Green,army_painter,army_painter_warpaints,WP1109,#338E46,solid,
Gorgon Hide,army_painter,army_painter_warpaints,WP1428,#CFD7E7,solid,
Griffon Blue,army_painter,army_painter_warpaints,WP1429,#20477A,solid,
Grimoire Purple,army_painter,army_painter_warpaints,WP1444,#724860,solid,
Hardened Carapace,army_painter,army_painter_warpaints,WP1430,#44453B,solid,
Hemp Rope,army_painter,army_painter_warpaints,WP1431,#977C3A,solid,
Hydra Turqoise,army_painter,army_painter_warpaints,WP1141,#1E939C,solid,
Ice Storm,army_painter,army_painter_warpaints,WP1432,#3BA0CB,solid,
Jungle Green,army_painter,army_painter_warpaints,WP1433,#8EA901,solid,
Kobold Skin,army_painter,army_painter_warpaints,WP1434,#D89D8F,solid,
Kraken Skin,army_painter,army_painter_warpaints,WP1435,#71BF87,solid,
Mars Red,army_painter,army_painter_warpaints,WP1436,#D33830,solid,
Mid Brown,army_painter,army_painter_warpaints,WP1469,#925A11,solid,
Monster Brown,army_painter,army_painter_warpaints,WP1120,#9D6A5F,solid,
Moon Dust,army_painter,army_painter_warpaints,WP1438,#F0D45F,solid,
Mouldy Clothes,army_painter,army_painter_warpaints,WP1439,#3A7529,solid,
Mummy Robes,army_painter,army_painter_warpaints,WP1440,#EFDED6,solid,
Mutant Hue,army_painter,army_painter_warpaints,WP1441,#AC8A8D,solid,
Mythical Orange,army_painter,army_painter_warpaints,WP1442,#E22E0D,solid,
Necromancer Cloak,army_painter,army_painter_warpaints,WP1443,#413C47,solid,
Oozing Purple,army_painter,army_painter_warpaints,WP1445,#B29DB7,solid,
Orc Blood,army_painter,army_painter_warpaints,WP1422,#904B7A,solid,
Phoenix Flames,army_painter,army_painter_warpaints,WP1446,#F7A103,solid,
Poisonous Cloud,army_painter,army_painter_warpaints,WP1448,#CFDA2F,solid,
Royal Cloak,army_painter,army_painter_warpaints,WP1449,#1C9095,solid,
Scaly Hide,army_painter,army_painter_warpaints,WP1450,#939F8C,solid,
Scar Tissue,army_painter,army_painter_warpaints,WP1480,#CF8C73,solid,
Snake Scales,army_painter,army_painter_warpaints,WP1453,#8EAE11,solid,
Spaceship Exterior,army_painter,army_painter_warpaints,WP1454,#D6D6D6,solid,
Stone Golem,army_painter,army_painter_warpaints,WP1455,#C3C5BE,solid,
Sulfide Ochre,army_painter,army_painter_warpaints,WP1456,#C78600,solid,
Tanned Flesh,army_painter,army_painter_warpaints,WP1127,#BB6F51,solid,
Toxic Boils,army_painter,army_painter_warpaints,WP1457,#A66E7D,solid,
Toxic Mist,army_painter,army_painter_warpaints,WP1437,#40BAC0,solid,
Troglodyte Blue,army_painter,army_painter_warpaints,WP1458,#2588B9,solid,
Troll Claws,army_painter,army_painter_warpaints,WP1459,#CB883E,solid,
Vampire Red,army_painter,army_painter_warpaints,WP1460,#98172A,solid,
Venom Wyrm,army_painter,army_painter_warpaints,WP1461,#6A653E,solid,
Viking Blue,army_painter,army_painter_warpaints,WP1462,#1C5B98,solid,
Voidshield Blue,army_painter,army_painter_warpaints,WP1452,#5BBCD7,solid,
Warlock Purple,army_painter,army_painter_warpaints,WP1451,#C34D81,solid,
Warpaints Mixing Medium,army_painter,army_painter_warpaints,WP1475,#EFEFEF,exclude,
Wasteland Soil,army_painter,army_painter_warpaints,WP1463,#844857,solid,
Werewolf Fur,army_painter,army_painter_warpaints,WP1464,#796352,solid,
Wet Mud,army_painter,army_painter_warpaints,WP1478,#9E3E35,solid,
Witch Brew,army_painter,army_painter_warpaints,WP1465,#919634,solid,
Wizards Orb,army_painter,army_painter_warpaints,WP1466,#0F7260,solid,
Quickshade Wash Mixing Medium,army_painter,army_painter_wash,WP1474,#EEEFEF,exclude,
Air Caste Thinner,citadel,citadel_air,,#F9F9F9,exclude,
Angron Red Clear,citadel,citadel_air,,#E21823,exclude,
Calth Blue Clear,citadel,citadel_air,,#0087D1,exclude,
Chemos Purple,citadel,citadel_air,,#4F356C,solid,
Deathshroud Clear,citadel,citadel_air,,#1C1C1B,exclude,
Eidolon Purple Clear,citadel,citadel_air,,#7D4D99,exclude,
Mortarion Green Clear,citadel,citadel_air,,#00832B,exclude,
Pyroclast Orange Clear,citadel,citadel_air,,#ED8022,exclude,
Relictor Gold,citadel,citadel_air,,#EAC58F,metallic,
Sigismund Yellow Clear,citadel,citadel_air,,#FFE32F,exclude,
Terminatus Stone,citadel,citadel_air,,#C8B79D,solid,
Thallax Gold,citadel,citadel_air,,#E88F47,metallic,
Typhon Ash,citadel,citadel_air,,#E4D8C1,solid,
Valdor Gold,citadel,citadel_air,,#CE8D51,metallic,
Abaddon Black,citadel,citadel_base,,#000000,solid,
Averland Sunset,citadel,citadel_base,,#FBB81C,solid,
Balthasar Gold,citadel,citadel_base,,#A77353,metallic,
Barak-Nar Burgundy,citadel,citadel_base,,#451636,solid,
Bugman Glow,citadel,citadel_base,,#804C43,exclude,
Caledor Sky,citadel,citadel_base,,#366699,solid,
Caliban Green,citadel,citadel_base,,#003D15,solid,
Castellan Green,citadel,citadel_base,,#264715,solid,
Catachan Fleshtone,citadel,citadel_base,,#442B25,solid,
Celestra Grey,citadel,citadel_base,,#8BA3A3,solid,
Corax White,citadel,citadel_base,,#FFFFFF,solid,
Corvus Black,citadel,citadel_base,,#171314,solid,
Daemonette Hide,citadel,citadel_base,,#655F81,solid,
Death Guard Green,citadel,citadel_base,,#6D774D,solid,
Death Korps Drab,citadel,citadel_base,,#3D4539,solid,
Deathworld Forest,citadel,citadel_base,,#556229,solid,
Dryad Bark,citadel,citadel_base,,#2B2A24,solid,
Gal Vorbak Red,citadel,citadel_base,,#4B213C,solid,
Grey Knights Steel,citadel,citadel_base,,#B0BDC6,metallic,
Grey Seer,citadel,citadel_base,,#A2A5A7,solid,
Hobgrot Hide,citadel,citadel_base,,#9C823B,solid,
Incubi Darkness,citadel,citadel_base,,#082E32,solid,
Ionrach Skin,citadel,citadel_base,,#97A384,solid,
Iron Hands Steel,citadel,citadel_base,,#B2A79F,metallic,
Iron Warriors,citadel,citadel_base,,#706E6B,solid,
Jokaero Orange,citadel,citadel_base,,#ED3814,solid,
Kantor Blue,citadel,citadel_base,,#02134E,solid,
Khorne Red,citadel,citadel_base,,#650001,solid,
Leadbelcher,citadel,citadel_base,,#969696,metallic,
Lupercal Green,citadel,citadel_base,,#002C2B,solid,
Macragge Blue,citadel,citadel_base,,#0F3D7C,solid,
Mechanicus Standard Grey,citadel,citadel_base,,#39484A,solid,
Mephiston Red,citadel,citadel_base,,#960C09,solid,
Morghast Bone,citadel,citadel_base,,#C0A973,solid,
Mournfang Brown,citadel,citadel_base,,#490F06,solid,
Naggaroth Night,citadel,citadel_base,,#3B2B50,solid,
Night Lords Blue,citadel,citadel_base,,#002B5C,solid,
Nocturne Green,citadel,citadel_base,,#162A29,solid,
Orruk Flesh,citadel,citadel_base,,#97C17E,solid,
Phoenician Purple,citadel,citadel_base,,#440052,solid,
Rakarth Flesh,citadel,citadel_base,,#9C998D,solid,
Ratskin Flesh,citadel,citadel_base,,#A86648,solid,
Retributor Armour,citadel,citadel_base,,#EDC169,metallic,
Rhinox Hide,citadel,citadel_base,,#462F30,solid,
Runelord Brass,citadel,citadel_base,,#8D806F,metallic,
Screamer Pink,citadel,citadel_base,,#7A0E44,solid,
Screaming Bell,citadel,citadel_base,,#D18A5E,solid,
Steel Legion Drab,citadel,citadel_base,,#584E2D,metallic,
Stegadon Scale Green,citadel,citadel_base,,#06455D,solid,
The Fang,citadel,citadel_base,,#405B71,solid,
Thondia Brown,citadel,citadel_base,,#4F322C,solid,
Thousand Sons Blue,citadel,citadel_base,,#00506F,solid,
Waaagh! Flesh,citadel,citadel_base,,#0B3B36,solid,
Warplock Bronze,citadel,citadel_base,,#B36E4F,metallic,
Wraithbone,citadel,citadel_base,,#DBD1B2,solid,
XV-88,citadel,citadel_base,,#6C4811,solid,
Zandri Dust,citadel,citadel_base,,#988E56,solid,
Aethermatic Blue,citadel,citadel_contrast,,#1C7E92,contrast,
Aggaros Dunes,citadel,citadel_contrast,,#706542,contrast,
Akhelian Green,citadel,citadel_contrast,,#004F63,contrast,
Apothecary White,citadel,citadel_contrast,,#A5BED4,contrast,
Basilicanum Grey,citadel,citadel_contrast,,#212121,contrast,
Black Legion,citadel,citadel_contrast,,#232324,contrast,
Black Templar,citadel,citadel_contrast,,#171717,contrast,
Blood Angels Red,citadel,citadel_contrast,,#860B0E,contrast,
Creed Camo,citadel,citadel_contrast,,#145D2E,contrast,
Cygor Brown,citadel,citadel_contrast,,#3E1A17,contrast,
Dark Angels Green,citadel,citadel_contrast,,#00110F,contrast,
Darkoath Flesh,citadel,citadel_contrast,,#98615B,contrast,
Flesh Tearers Red,citadel,citadel_contrast,,#4B0402,contrast,
Fyreslayer Flesh,citadel,citadel_contrast,,#724E3C,contrast,
Gore-Grunta Fur,citadel,citadel_contrast,,#613B1F,contrast,
Gryph-Charger Grey,citadel,citadel_contrast,,#25698A,contrast,
Gryph-Hound Orange,citadel,citadel_contrast,,#94300E,contrast,
Guilliman Flesh,citadel,citadel_contrast,,#9F4639,contrast,
Iyanden Yellow,citadel,citadel_contrast,,#DB7F0C,contrast,
Leviadon Blue,citadel,citadel_contrast,,#000A13,contrast,
Magos Purple,citadel,citadel_contrast,,#7A3F6E,contrast,
Militarum Green,citadel,citadel_contrast,,#6B7711,contrast,
Nazdreg Yellow,citadel,citadel_contrast,,#6C4C00,contrast,
Ork Flesh,citadel,citadel_contrast,,#00591E,contrast,
Plaguebearer Flesh,citadel,citadel_contrast,,#718025,contrast,
Shyish Purple,citadel,citadel_contrast,,#2B0E42,contrast,
Skeleton Horde,citadel,citadel_contrast,,#A4966F,contrast,
Space Wolves Grey,citadel,citadel_contrast,,#1F486B,contrast,
Talassar Blue,citadel,citadel_contrast,,#003B70,contrast,
Terradon Turquoise,citadel,citadel_contrast,,#005862,contrast,
Ultramarines Blue,citadel,citadel_contrast,,#091948,contrast,
Volupus Pink,citadel,citadel_contrast,,#60001C,contrast,
Warp Lightning,citadel,citadel_contrast,,#005E26,contrast,
Wyldwood,citadel,citadel_contrast,,#432822,contrast,
Astorath Red,citadel,citadel_dry,,#A9311E,technical,
Changeling Pink,citadel,citadel_dry,,#F3ABCA,technical,
Chronus Blue,citadel,citadel_dry,,#4B90CF,technical,
Eldar Flesh,citadel,citadel_dry,,#E8C07F,technical,
Etherium Blue,citadel,citadel_dry,,#9EB5CE,technical,
Golden Griffon,citadel,citadel_dry,,#E1BA7F,technical,
Golgfag Brown,citadel,citadel_dry,,#8F502A,technical,
Hellion Green,citadel,citadel_dry,,#7FC1A5,technical,
Hexos Palesun,citadel,citadel_dry,,#FFF55A,technical,
Imrik Blue,citadel,citadel_dry,,#208ABF,technical,
Kindleflame,citadel,citadel_dry,,#F69C82,technical,
Longbeard Grey,citadel,citadel_dry,,#DBDCC6,technical,
Lucius Lilac,citadel,citadel_dry,,#B598C9,technical,
Necron Compound,citadel,citadel_dry,,#DADDDF,technical,
Niblet Green,citadel,citadel_dry,,#378C35,technical,
Praxeti White,citadel,citadel_dry,,#FFFFFF,technical,
Ryza Rust,citadel,citadel_dry,,#F16C23,technical,
Sigmarite,citadel,citadel_dry,,#D6AC57,technical,
Skink Blue,citadel,citadel_dry,,#54BDCA,technical,
Stormfang,citadel,citadel_dry,,#5A7FA3,technical,
Sylvaneth Bark,citadel,citadel_dry,,#4E483B,technical,
Tyrant Skull,citadel,citadel_dry,,#C8C483,technical,
Underhive Ash,citadel,citadel_dry,,#BCBB7E,technical,
Verminlord Hide,citadel,citadel_dry,,#7E3331,technical,
Wrack White,citadel,citadel_dry,,#D3D0CF,technical,
Adeptus Battlegrey,citadel,citadel_foundation_discontinued,,#4A4C58,exclude,
Astronomicon Grey,citadel,citadel_foundation_discontinued,,#93ABAF,exclude,
Bad Moon Yellow,citadel,citadel_foundation_discontinued,,#FFF200,exclude,
Beaten Copper,citadel,citadel_foundation_discontinued,,#73372D,exclude,
Bestial Brown,citadel,citadel_foundation_discontinued,,#7B4A39,exclude,
Bilious Green,citadel,citadel_foundation_discontinued,,#A9D171,exclude,
Black Ink,citadel,citadel_foundation_discontinued,,#000000,exclude,
Blazing Orange,citadel,citadel_foundation_discontinued,,#E65925,exclude,
Bleached Bone,citadel,citadel_foundation_discontinued,,#EED5AC,exclude,
Blood Red,citadel,citadel_foundation_discontinued,,#D2223E,exclude,
Boltgun Metal,citadel,citadel_foundation_discontinued,,#888789,exclude,
Brazen Brass,citadel,citadel_foundation_discontinued,,#966747,exclude,
Bronzed Flesh,citadel,citadel_foundation_discontinued,,#EC9A36,exclude,
Bubonic Brown,citadel,citadel_foundation_discontinued,,#B89142,exclude,
Burnished Gold,citadel,citadel_foundation_discontinued,,#E0C068,exclude,
Calthan Brown,citadel,citadel_foundation_discontinued,,#7A4231,exclude,
Camo Green,citadel,citadel_foundation_discontinued,,#878D52,exclude,
Catachan Green,citadel,citadel_foundation_discontinued,,#455440,exclude,
Chainmail,citadel,citadel_foundation_discontinued,,#8E8C91,exclude,
Chaos Black,citadel,citadel_foundation_discontinued,,#001522,exclude,
Charadon Granite,citadel,citadel_foundation_discontinued,,#463F39,exclude,
Codex Grey,citadel,citadel_foundation_discontinued,,#808285,exclude,
Commando Khaki,citadel,citadel_foundation_discontinued,,#9A8C7B,exclude,
Dark Flesh,citadel,citadel_foundation_discontinued,,#683B31,exclude,
Dark Green Ink,citadel,citadel_foundation_discontinued,,#108473,exclude,
Desert Yellow,citadel,citadel_foundation_discontinued,,#9C8855,exclude,
Dheneb Stone,citadel,citadel_foundation_discontinued,,#B8ACA0,exclude,
Dwarf Bronze,citadel,citadel_foundation_discontinued,,#A26840,exclude,
Dwarf Flesh,citadel,citadel_foundation_discontinued,,#DA9382,exclude,
Elf Flesh,citadel,citadel_foundation_discontinued,,#EDAE74,exclude,
Enchanted Blue,citadel,citadel_foundation_discontinued,,#0071B7,exclude,
Fenrys Grey,citadel,citadel_foundation_discontinued,,#2C4363,exclude,
Fiery Orange,citadel,citadel_foundation_discontinued,,#F47920,exclude,
Fortress Grey,citadel,citadel_foundation_discontinued,,#BCBDC0,exclude,
Ghostly Grey,citadel,citadel_foundation_discontinued,,#C3C6CD,exclude,
Goblin Green,citadel,citadel_foundation_discontinued,,#3D9353,exclude,
Golden Yellow,citadel,citadel_foundation_discontinued,,#FFC20E,exclude,
Graveyard Earth,citadel,citadel_foundation_discontinued,,#665238,exclude,
Gretchin Green,citadel,citadel_foundation_discontinued,,#7E6930,exclude,
Hawk Turquoise,citadel,citadel_foundation_discontinued,,#008194,exclude,
Hormagaunt Purple,citadel,citadel_foundation_discontinued,,#54496B,exclude,
Ice Blue,citadel,citadel_foundation_discontinued,,#81D3EB,exclude,
Imperial Purple,citadel,citadel_foundation_discontinued,,#562F7E,exclude,
Iyanden Darksun,citadel,citadel_foundation_discontinued,,#AD852E,exclude,
Jade Green,citadel,citadel_foundation_discontinued,,#069B7D,exclude,
Khemri Brown,citadel,citadel_foundation_discontinued,,#73614D,exclude,
Knarloc Green,citadel,citadel_foundation_discontinued,,#48563C,exclude,
Kommando Khaki,citadel,citadel_foundation_discontinued,,#9E915C,exclude,
Leprous Brown,citadel,citadel_foundation_discontinued,,#D88E2D,exclude,
Liche Purple,citadel,citadel_foundation_discontinued,,#2C2D8B,exclude,
Lightning Bolt Blue,citadel,citadel_foundation_discontinued,,#8BB9DD,exclude,
Macharius Solar Orange,citadel,citadel_foundation_discontinued,,#B94023,exclude,
Magenta Ink,citadel,citadel_foundation_discontinued,,#DE007B,exclude,
Mechrite Red,citadel,citadel_foundation_discontinued,,#A82014,exclude,
Midnight Blue,citadel,citadel_foundation_discontinued,,#002561,exclude,
Mithril Silver,citadel,citadel_foundation_discontinued,,#B7BEC5,exclude,
Mordian Blue,citadel,citadel_foundation_discontinued,,#244882,exclude,
Nauseating Blue,citadel,citadel_foundation_discontinued,,#412A7A,exclude,
Necron Abyss,citadel,citadel_foundation_discontinued,,#1A213D,exclude,
Orkhide Shade,citadel,citadel_foundation_discontinued,,#26372D,exclude,
Pallid Flesh,citadel,citadel_foundation_discontinued,,#EEC8C7,exclude,
Purple Ink,citadel,citadel_foundation_discontinued,,#842994,exclude,
Red Gore,citadel,citadel_foundation_discontinued,,#9D2B3F,exclude,
Regal Blue,citadel,citadel_foundation_discontinued,,#003F70,exclude,
Rotting Flesh,citadel,citadel_foundation_discontinued,,#B8C39E,exclude,
Scab Red,citadel,citadel_foundation_discontinued,,#90263D,exclude,
Scaly Green,citadel,citadel_foundation_discontinued,,#006063,exclude,
Scorched Brown,citadel,citadel_foundation_discontinued,,#5A422F,exclude,
Scorpion Green,citadel,citadel_foundation_discontinued,,#65B345,exclude,
Shadow Grey,citadel,citadel_foundation_discontinued,,#106993,exclude,
Shining Gold,citadel,citadel_foundation_discontinued,,#EFB736,exclude,
Skull White,citadel,citadel_foundation_discontinued,,#FFFFFF,exclude,
Snakebite Leather,citadel,citadel_foundation_discontinued,,#8C6C40,exclude,
Snot Green,citadel,citadel_foundation_discontinued,,#006F45,exclude,
Storm Blue,citadel,citadel_foundation_discontinued,,#27357E,exclude,
Sunburst Yellow,citadel,citadel_foundation_discontinued,,#FFD400,exclude,
Tallarn Flesh,citadel,citadel_foundation_discontinued,,#B27B67,exclude,
Tanned Flesh,citadel,citadel_foundation_discontinued,,#A95C3E,exclude,
Tausept Ochre,citadel,citadel_foundation_discontinued,,#A06E3B,exclude,
Tentacle Pink,citadel,citadel_foundation_discontinued,,#DC9DC6,exclude,
Terracotta,citadel,citadel_foundation_discontinued,,#793721,exclude,
Tin Bitz,citadel,citadel_foundation_discontinued,,#473F39,exclude,
Ultramarine Blue,citadel,citadel_foundation_discontinued,,#0066B3,exclude,
Vermin Brown,citadel,citadel_foundation_discontinued,,#843910,exclude,
Vermin Fur,citadel,citadel_foundation_discontinued,,#904F2E,exclude,
Vile Green,citadel,citadel_foundation_discontinued,,#82C59C,exclude,
Vomit Brown,citadel,citadel_foundation_discontinued,,#CE8B3C,exclude,
Warlock Purple,citadel,citadel_foundation_discontinued,,#A43E8B,exclude,
Bloodletter,citadel,citadel_glaze,,#F37355,technical,
Guilliman Blue,citadel,citadel_glaze,,#2F9AD6,technical,
Lamenters Yellow,citadel,citadel_glaze,,#FFF56B,technical,
Waywatcher Green,citadel,citadel_glaze,,#6DC066,technical,
Administratum Grey,citadel,citadel_layer,,#989C94,solid,
Ahriman Blue,citadel,citadel_layer,,#00708A,solid,
Alaitoc Blue,citadel,citadel_layer,,#2F4F85,solid,
Altdorf Guard Blue,citadel,citadel_layer,,#2D4696,solid,
Auric Armour Gold,citadel,citadel_layer,,#FFC451,metallic,
Baharroth Blue,citadel,citadel_layer,,#54BDCA,solid,
Balor Brown,citadel,citadel_layer,,#875408,solid,
Baneblade Brown,citadel,citadel_layer,,#8F7C68,solid,
Bestigor Flesh,citadel,citadel_layer,,#D08951,solid,
Bloodreaver Flesh,citadel,citadel_layer,,#6A4848,solid,
Blue Horror,citadel,citadel_layer,,#9EB5CE,solid,
